date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,199,5.3,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,200,9.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,201,1.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,202,1.7,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,203,4.2,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,204,2.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,205,4.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,206,2.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,207,1.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,208,1.1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,209,1.4,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,210,3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,211,1.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,212,1.7,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,213,1.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,214,3.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,215,3.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,216,1.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,217,1.9,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,218,1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,219,1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,220,2.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,221,5.4,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,222,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,223,2.9,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,224,3.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,225,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,226,12.2,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,227,1,NA,NA,,raw
