date,genotype,strain,plate,group,odorant.order,soak.order,source.plate,assay,conc,nCue,nControl,outside,dead,fungus,note,user,bench,scorer
7_27_15,N2,DA1878,167,C,9,NA,C3,EtOH,,28,16,10,,,,MOD,MOD,MOD
7_27_15,N2,OP50,168,D,1,NA,A4,2-but,,10,3,2,,,,MOD,PHC,PHC
7_27_15,N2,OP50,169,D,2,NA,B4,1-hex,,16,0,6,,,,MOD,PHC,PHC
7_27_15,N2,OP50,170,D,3,NA,A4,2-but,,21,2,1,,,,MOD,PHC,PHC
7_27_15,N2,JUb39,171,D,4,NA,B4,2-but,,45,6,4,,,,MOD,PHC,PHC
7_27_15,N2,JUb39,172,D,5,NA,A4,1-hex,,17,7,5,,,,MOD,PHC,PHC
7_27_15,N2,JUb39,173,D,6,NA,B4,2-but,,63,3,2,,,,MOD,PHC,PHC
7_27_15,N2,OP50,174,,,,,2-but,,33,13,17,4,,,PHC,PHC,PHC
7_27_15,N2,OP50,175,,,,,1-hex,,19,5,6,4,,,PHC,PHC,PHC
7_27_15,N2,OP50,176,,,,,diacetyl,,50,4,1,1,,,PHC,PHC,PHC
7_27_15,N2,JUb39,177,,,,,2-but,,32,8,9,5,,,PHC,PHC,PHC
7_27_15,N2,JUb39,178,,,,,1-hex,,115,12,33,2,,,PHC,PHC,PHC
7_27_15,N2,JUb39,179,,,,,diacetyl,,100,5,16,0,,,PHC,PHC,PHC
7_27_15,N2,DA1878,180,,,,,2-but,,43,11,7,1,,,PHC,PHC,PHC
7_27_15,N2,DA1878,181,,,,,1-hex,,40,2,9,3,,,PHC,PHC,PHC
7_27_15,N2,DA1878,182,,,,,diacetyl,,77,5,13,2,,,PHC,PHC,PHC
7_27_15,N2,DA1878,183,,,,,1-hex,,40,3,7,2,,,PHC,PHC,PHC
7_27_15,N2,DA1878,184,,,,,diacetyl,,54,6,6,3,,,PHC,PHC,PHC
7_27_15,N2,DA1878,185,,,,,bz,,151,0,8,2,,,PHC,PHC,PHC
7_27_15,N2,JUb39,186,,,,,1-hex,,36,13,7,3,,,PHC,PHC,PHC
7_27_15,N2,JUb39,187,,,,,diacetyl,,63,2,12,14,,,PHC,PHC,PHC
7_27_15,N2,JUb39,188,,,,,bz,,62,3,6,3,,,PHC,PHC,PHC
7_27_15,N2,OP50,189,,,,,1-hex,,38,2,4,5,,,PHC,PHC,PHC
7_27_15,N2,OP50,190,,,,,diacetyl,,51,3,16,8,,,PHC,PHC,PHC
7_27_15,N2,OP50,191,,,,,bz,,59,1,5,5,,,PHC,PHC,PHC
7_27_15,N2,JUb39,192,,,,,diacetyl,,64,1,4,2,,,PHC,PHC,PHC
7_27_15,N2,JUb39,193,,,,,bz,,60,6,3,2,,,PHC,PHC,PHC
7_27_15,N2,JUb39,194,,,,,EtOH,,12,3,8,2,,,PHC,PHC,PHC
7_27_15,N2,OP50,195,,,,,diacetyl,,41,14,8,2,,,PHC,PHC,PHC
7_27_15,N2,OP50,196,,,,,bz,,60,1,3,2,,,PHC,PHC,PHC
7_27_15,N2,OP50,197,,,,,EtOH,,21,16,17,0,,,PHC,PHC,PHC
7_27_15,N2,DA1878,198,,,,,diacetyl,,43,1,3,2,,,PHC,PHC,PHC
7_27_15,N2,DA1878,199,,,,,bz,,74,0,8,2,,,PHC,PHC,PHC
7_27_15,N2,DA1878,200,,,,,EtOH,,13,3,15,0,,,PHC,PHC,PHC
7_27_15,N2,OP50,201,,,,,2-but,,19,17,5,,,,PHC,MOD,MOD
7_27_15,N2,OP50,202,,,,,1-hex,,16,3,1,,,,PHC,MOD,MOD
7_27_15,N2,OP50,203,,,,,2-but,,1,3,1,,,,PHC,MOD,MOD
7_27_15,N2,JUb39,204,,,,,2-but,,60,8,4,,,,PHC,MOD,MOD
7_27_15,N2,JUb39,205,,,,,1-hex,,73,10,3,,,,PHC,MOD,MOD
7_27_15,N2,JUb39,206,,,,,2-but,,42,6,2,,,,PHC,MOD,MOD
7_27_15,N2,OP50,207,,,,,2-but,,34,3,6,4,,,PHC,PHC,PHC
7_27_15,N2,OP50,208,,,,,2-but,,27,2,4,1,,,PHC,PHC,PHC
7_27_15,N2,OP50,209,,,,,2-but,,34,6,9,4,,,PHC,PHC,PHC
7_27_15,N2,PAK,210,,,,,2-but,,13,11,4,0,,,PHC,PHC,PHC
7_27_15,N2,PAK,211,,,,,2-but,,39,13,12,3,,,PHC,PHC,PHC
