date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,849,2.7,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,850,5,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,851,4.3,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,852,1.4,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,853,5.7,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,854,8,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,855,1.7,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,856,2,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,857,8.4,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,858,2,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,859,2,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,860,2.4,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,861,2.4,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,862,1.9,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,863,2.3,NA,B,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,882,2.7,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,883,4,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,884,2.6,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,885,4.8,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,886,2.2,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,887,1.8,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,888,3.7,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,889,3.4,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,890,4.1,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,891,3.4,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,892,1.8,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,893,1.7,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,894,3.2,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,895,1.9,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,896,2.2,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,897,2.3,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,898,1,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,899,1.4,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,900,3.1,NA,NA,non-paralyzed
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,901,2.7,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,904,17.2,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,905,5.7,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,906,8.1,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,907,5,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,908,4.1,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,909,6.5,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,910,1.7,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,911,6.1,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,912,12.8,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,913,9.8,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,915,10.4,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,916,2.7,NA,NA,non-paralyzed
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,918,14.2,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1749,7,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1750,5.3,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1751,2.6,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1752,5.7,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1753,1.7,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1754,2.8,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1755,2.5,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1756,3.3,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1757,7.4,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1758,10.5,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1759,1.6,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1760,3.1,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1761,3.3,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1762,3.9,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1763,4,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1764,1.9,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1765,3,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1766,4.4,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,off_food,oct_1.0,109,1767,8.9,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1768,1.2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1769,3.3,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1770,3.3,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1771,2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1772,1.9,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1773,1.2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1774,1.7,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1775,2.3,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1776,4.5,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1777,1.7,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1778,0.9,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1779,1.2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1780,2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1781,1.3,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1782,2.9,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1783,2.7,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1784,2.3,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1785,2.2,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1786,1.1,NA,NA,non-paralyzed
2019_01_14,N2,OP50,off_food,oct_1.0,110,1787,2.7,NA,NA,non-paralyzed
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1816,8.6,NA,NA,non-paralyzed
