date,genotype,animal,food,cond,cue,response.time,pir,group,paralyzed,plateID,data_type,log.response
2018_10_29,N2,612,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,6.5,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.8718021769015913
2018_10_29,N2,613,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,9.4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.2407096892759584
2018_10_29,N2,614,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,0.6931471805599453
2018_10_29,N2,615,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.3,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.4586150226995167
2018_10_29,N2,617,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,3.2,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.1631508098056809
2018_10_29,N2,619,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,16,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.772588722239781
2018_10_29,N2,620,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2.2,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,0.7884573603642703
2018_10_29,N2,621,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,10.7,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.3702437414678603
2018_11_13,N2,882,OP50,Tyrosine,oct_1.0,2.7,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.9932517730102834
2018_11_13,N2,883,OP50,Tyrosine,oct_1.0,4,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.3862943611198906
2018_11_13,N2,884,OP50,Tyrosine,oct_1.0,2.6,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.9555114450274363
2018_11_13,N2,885,OP50,Tyrosine,oct_1.0,4.8,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.5686159179138452
2018_11_13,N2,886,OP50,Tyrosine,oct_1.0,2.2,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.7884573603642703
2018_11_13,N2,887,OP50,Tyrosine,oct_1.0,1.8,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.5877866649021191
2018_11_13,N2,888,OP50,Tyrosine,oct_1.0,3.7,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.308332819650179
2018_11_13,N2,889,OP50,Tyrosine,oct_1.0,3.4,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.2237754316221157
2018_11_13,N2,890,OP50,Tyrosine,oct_1.0,4.1,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.410986973710262
2018_11_13,N2,891,OP50,Tyrosine,oct_1.0,3.4,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.2237754316221157
2018_11_13,N2,892,OP50,Tyrosine,oct_1.0,1.8,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.5877866649021191
2018_11_13,N2,893,OP50,Tyrosine,oct_1.0,1.7,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.5306282510621704
2018_11_13,N2,894,OP50,Tyrosine,oct_1.0,3.2,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.1631508098056809
2018_11_13,N2,895,OP50,Tyrosine,oct_1.0,1.9,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.6418538861723947
2018_11_13,N2,896,OP50,Tyrosine,oct_1.0,2.2,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.7884573603642703
2018_11_13,N2,897,OP50,Tyrosine,oct_1.0,2.3,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.8329091229351039
2018_11_13,N2,898,OP50,Tyrosine,oct_1.0,1,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0
2018_11_13,N2,899,OP50,Tyrosine,oct_1.0,1.4,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.3364722366212129
2018_11_13,N2,900,OP50,Tyrosine,oct_1.0,3.1,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,1.1314021114911006
2018_11_13,N2,901,OP50,Tyrosine,oct_1.0,2.7,NA,NA,non-paralyzed,N2.OP50.2018_11_13.oct_1.0.Tyrosine,raw,0.9932517730102834
2018_11_13,N2,904,JUb39,Tyrosine,oct_1.0,17.2,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.8449093838194073
2018_11_13,N2,905,JUb39,Tyrosine,oct_1.0,5.7,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,1.7404661748405046
2018_11_13,N2,906,JUb39,Tyrosine,oct_1.0,8.1,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.0918640616783932
2018_11_13,N2,907,JUb39,Tyrosine,oct_1.0,5,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,1.6094379124341003
2018_11_13,N2,908,JUb39,Tyrosine,oct_1.0,4.1,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,1.410986973710262
2018_11_13,N2,909,JUb39,Tyrosine,oct_1.0,6.5,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,1.8718021769015913
2018_11_13,N2,910,JUb39,Tyrosine,oct_1.0,1.7,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,0.5306282510621704
2018_11_13,N2,911,JUb39,Tyrosine,oct_1.0,6.1,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,1.8082887711792655
2018_11_13,N2,912,JUb39,Tyrosine,oct_1.0,12.8,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.5494451709255714
2018_11_13,N2,913,JUb39,Tyrosine,oct_1.0,9.8,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.2823823856765264
2018_11_13,N2,915,JUb39,Tyrosine,oct_1.0,10.4,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.341805806147327
2018_11_13,N2,916,JUb39,Tyrosine,oct_1.0,2.7,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,0.9932517730102834
2018_11_13,N2,918,JUb39,Tyrosine,oct_1.0,14.2,NA,NA,non-paralyzed,N2.JUb39.2018_11_13.oct_1.0.Tyrosine,raw,2.653241964607215
2018_11_13,N2,920,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2.7,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,0.9932517730102834
2018_11_13,N2,921,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,1.4816045409242156
2018_11_13,N2,922,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,11,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,2.3978952727983707
2018_11_13,N2,923,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2.3,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,0.8329091229351039
2018_11_13,N2,924,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,7.4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,2.0014800002101243
2018_11_13,N2,925,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.5,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,1.5040773967762742
2018_11_13,N2,926,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2.1,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,0.7419373447293773
2018_11_13,N2,927,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,9.1,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,2.2082744135228043
2018_11_13,N2,928,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,3.7,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,1.308332819650179
2018_11_13,N2,929,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.3,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,1.4586150226995167
2018_11_13,N2,930,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,0.7,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,-0.35667494393873245
2018_11_13,N2,931,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,5.9,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_11_13.oct_1.0.Tyrosine,raw,1.7749523509116738
2019_01_07,N2,1439,OP50,Tyrosine,oct_1.0,6.9,NA,NA,non-paralyzed,N2.OP50.2019_01_07.oct_1.0.Tyrosine,raw,1.9315214116032138
2019_01_07,N2,1440,OP50,Tyrosine,oct_1.0,4.3,NA,NA,non-paralyzed,N2.OP50.2019_01_07.oct_1.0.Tyrosine,raw,1.4586150226995167
2019_01_07,N2,1441,OP50,Tyrosine,oct_1.0,5.7,NA,NA,non-paralyzed,N2.OP50.2019_01_07.oct_1.0.Tyrosine,raw,1.7404661748405046
2019_01_07,N2,1442,OP50,Tyrosine,oct_1.0,8.7,NA,NA,non-paralyzed,N2.OP50.2019_01_07.oct_1.0.Tyrosine,raw,2.163323025660538
