date,genotype,animal,food,cond,cue,response.time,pir,group
6_23_18,N2,10,OP50,off_food,oct_1.0,4.4,,
6_23_18,N2,11,OP50,off_food,oct_1.0,3.6,,
6_23_18,N2,12,OP50,off_food,oct_1.0,3.9,,
6_23_18,N2,13,OP50,off_food,oct_1.0,4.5,,
6_23_18,N2,14,OP50,off_food,oct_1.0,3.4,,
6_23_18,N2,15,OP50,off_food,oct_1.0,4.5,,
6_23_18,N2,16,OP50,off_food,oct_1.0,5.1,,
6_23_18,N2,17,OP50,off_food,oct_1.0,4.6,,
6_23_18,N2,18,OP50,off_food,oct_1.0,3.9,,
6_23_18,N2,19,OP50,off_food,oct_1.0,3.4,,
6_23_18,N2,20,OP50,off_food,oct_1.0,1.7,,
6_23_18,N2,1,JUb39,off_food,oct_1.0,9.3,,
6_23_18,N2,2,JUb39,off_food,oct_1.0,8,,
6_23_18,N2,3,JUb39,off_food,oct_1.0,2,,
6_23_18,N2,4,JUb39,off_food,oct_1.0,3.4,,
6_23_18,N2,5,JUb39,off_food,oct_1.0,7.9,,
6_23_18,N2,6,JUb39,off_food,oct_1.0,12.4,,
6_23_18,N2,7,JUb39,off_food,oct_1.0,5.8,,
6_23_18,N2,8,JUb39,off_food,oct_1.0,5,,
6_23_18,N2,9,JUb39,off_food,oct_1.0,5.5,,
6_23_18,N2,10,JUb39,off_food,oct_1.0,8.3,,
6_23_18,N2,11,JUb39,off_food,oct_1.0,20,,
6_23_18,N2,12,JUb39,off_food,oct_1.0,5.4,,
6_23_18,N2,13,JUb39,off_food,oct_1.0,8,,
6_23_18,N2,14,JUb39,off_food,oct_1.0,4.1,,
6_23_18,N2,15,JUb39,off_food,oct_1.0,3.8,,
6_23_18,N2,16,JUb39,off_food,oct_1.0,6.5,,
6_23_18,N2,17,JUb39,off_food,oct_1.0,6.5,,
6_23_18,N2,18,JUb39,off_food,oct_1.0,11,,
6_23_18,N2,19,JUb39,off_food,oct_1.0,6.2,,
6_23_18,N2,20,JUb39,off_food,oct_1.0,12.7,,
6_23_18,tbh-1,1,OP50,off_food,oct_1.0,7,,
6_23_18,tbh-1,2,OP50,off_food,oct_1.0,9.8,,
6_23_18,tbh-1,3,OP50,off_food,oct_1.0,2,,
6_23_18,tbh-1,4,OP50,off_food,oct_1.0,1.8,,
6_23_18,tbh-1,5,OP50,off_food,oct_1.0,2.5,,
6_23_18,tbh-1,6,OP50,off_food,oct_1.0,4.9,,
6_23_18,tbh-1,7,OP50,off_food,oct_1.0,1.9,,
6_23_18,tbh-1,8,OP50,off_food,oct_1.0,4,,
6_23_18,tbh-1,9,OP50,off_food,oct_1.0,1.6,,
6_23_18,tbh-1,10,OP50,off_food,oct_1.0,4.5,,
6_23_18,tbh-1,11,OP50,off_food,oct_1.0,2.4,,
6_23_18,tbh-1,12,OP50,off_food,oct_1.0,2.6,,
6_23_18,tbh-1,13,OP50,off_food,oct_1.0,1.4,,
6_23_18,tbh-1,14,OP50,off_food,oct_1.0,6.9,,
6_23_18,tbh-1,15,OP50,off_food,oct_1.0,3.1,,
6_23_18,tbh-1,16,OP50,off_food,oct_1.0,6.7,,
6_23_18,tbh-1,17,OP50,off_food,oct_1.0,3.1,,
6_23_18,tbh-1,18,OP50,off_food,oct_1.0,8.3,,
6_23_18,tbh-1,19,OP50,off_food,oct_1.0,2,,
6_23_18,tbh-1,20,OP50,off_food,oct_1.0,3.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,16.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.4,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.2,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.8,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,4.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,2.8,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,7.7,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,20,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,3.1,,
