date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line,data_type
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1252,3.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1253,9.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1254,1.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1255,2.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1256,2.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1257,1.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1258,2.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1259,4.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1260,2.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1261,2.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1262,1.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1263,4.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1264,2.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1265,2.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1266,1.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1267,1,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1268,3.7,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1269,3.7,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1270,4.5,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1271,1.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1272,2.8,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1273,1.7,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1274,2.7,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1275,2.5,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1276,5.4,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1277,3.9,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1278,1.8,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1279,1.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1280,3.2,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1281,1.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1282,2.4,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1283,0.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1284,1.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1285,2.4,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,262,1286,3,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1287,3.1,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1288,2.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1289,5.1,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1290,9.4,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1291,3.9,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1292,4.5,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1293,3.1,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1294,3.4,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1295,4.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1296,5.9,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1297,7.2,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1298,2.3,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1299,4.3,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1300,3.3,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1301,11.5,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1302,5.6,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1303,1.9,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1304,2.1,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,262,1305,2,NA,NA,non-paralyzed,5,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1307,4.1,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1308,1.9,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1309,4.2,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1310,1.9,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1311,0.9,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1312,0.7,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1313,1.8,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1314,1.7,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1315,1.8,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1316,1.8,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1317,1.5,NA,NA,non-paralyzed,2,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,263,1318,2.3,NA,NA,non-paralyzed,2,raw
