date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type,log.response
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1461,2.8,NA,NA,non-paralyzed,raw,1.0296194171811581
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1462,6.4,NA,NA,non-paralyzed,raw,1.8562979903656263
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1463,3.6,NA,NA,non-paralyzed,raw,1.2809338454620642
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1464,5.7,NA,NA,non-paralyzed,raw,1.7404661748405046
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1465,8,NA,NA,non-paralyzed,raw,2.0794415416798357
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1467,5,NA,NA,non-paralyzed,raw,1.6094379124341003
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1468,5.6,NA,NA,non-paralyzed,raw,1.7227665977411035
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1469,13.1,NA,NA,non-paralyzed,raw,2.5726122302071057
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1470,5.9,NA,NA,non-paralyzed,raw,1.7749523509116738
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1471,6,NA,NA,non-paralyzed,raw,1.791759469228055
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1473,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1474,9.2,NA,NA,non-paralyzed,raw,2.2192034840549946
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1476,13.8,NA,NA,non-paralyzed,raw,2.624668592163159
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1477,5.2,NA,NA,non-paralyzed,raw,1.6486586255873816
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1478,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1479,7.1,NA,NA,non-paralyzed,raw,1.9600947840472698
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1480,13.4,NA,NA,non-paralyzed,raw,2.5952547069568657
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1481,4.4,NA,NA,non-paralyzed,raw,1.4816045409242156
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1484,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1485,6.1,NA,NA,non-paralyzed,raw,1.8082887711792655
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1486,1.3,NA,NA,non-paralyzed,raw,0.26236426446749106
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1487,1.9,NA,NA,non-paralyzed,raw,0.6418538861723947
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1488,3.1,NA,NA,non-paralyzed,raw,1.1314021114911006
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1489,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1490,1.1,NA,NA,non-paralyzed,raw,0.09531017980432493
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1491,4.7,NA,NA,non-paralyzed,raw,1.547562508716013
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1492,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1493,6.2,NA,NA,non-paralyzed,raw,1.824549292051046
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1494,4.1,NA,NA,non-paralyzed,raw,1.410986973710262
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1495,15.5,NA,NA,non-paralyzed,raw,2.740840023925201
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1496,1.7,NA,NA,non-paralyzed,raw,0.5306282510621704
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1497,2.1,NA,NA,non-paralyzed,raw,0.7419373447293773
2019_01_07,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,96,1498,1.7,NA,NA,non-paralyzed,raw,0.5306282510621704
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1816,8.6,NA,NA,non-paralyzed,raw,2.151762203259462
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1817,0.9,NA,NA,non-paralyzed,raw,-0.10536051565782628
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1818,8.5,NA,NA,non-paralyzed,raw,2.1400661634962708
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1819,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1820,4.4,NA,NA,non-paralyzed,raw,1.4816045409242156
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1821,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1822,6.9,NA,NA,non-paralyzed,raw,1.9315214116032138
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1823,10.8,NA,NA,non-paralyzed,raw,2.379546134130174
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1824,3.8,NA,NA,non-paralyzed,raw,1.33500106673234
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1825,1.1,NA,NA,non-paralyzed,raw,0.09531017980432493
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1826,2.7,NA,NA,non-paralyzed,raw,0.9932517730102834
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1827,6.8,NA,NA,non-paralyzed,raw,1.916922612182061
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1828,10.9,NA,NA,non-paralyzed,raw,2.388762789235098
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1829,9.8,NA,NA,non-paralyzed,raw,2.2823823856765264
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1830,10.1,NA,NA,non-paralyzed,raw,2.3125354238472138
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1831,5.4,NA,NA,non-paralyzed,raw,1.6863989535702288
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1832,7.2,NA,NA,non-paralyzed,raw,1.9740810260220096
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1833,6.6,NA,NA,non-paralyzed,raw,1.8870696490323797
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1834,4.2,NA,NA,non-paralyzed,raw,1.4350845252893227
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1835,5.6,NA,NA,non-paralyzed,raw,1.7227665977411035
