strain,plate,group,date,starting_date,time,day,hours,alive,dead,censored,bagged,total,note
JUb39,1,1,16-Oct,02-Oct,,14,336,3,8,9,0,20,
JUb39,2,1,16-Oct,02-Oct,,14,336,5,7,5,3,20,
JUb39,3,1,16-Oct,02-Oct,,14,336,5,10,4,1,20,
JUb39,4,1,16-Oct,02-Oct,,14,336,2,10,5,3,20,
PA14,1,1,16-Oct,02-Oct,,14,336,,,,,0,
PA14,2,1,16-Oct,02-Oct,,14,336,,,,,0,
PA14,3,1,16-Oct,02-Oct,,14,336,,,,,0,
PA14,4,1,16-Oct,02-Oct,,14,336,,,,,0,
OP50,1,2,16-Oct,04-Oct,,12,288,,,,,0,
OP50,2,2,16-Oct,04-Oct,,12,288,14,4,2,0,20,
OP50,3,2,16-Oct,04-Oct,,12,288,11,2,7,0,20,
OP50,4,2,16-Oct,04-Oct,,12,288,7,4,8,1,20,
