date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,125,2.7,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,126,4,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,127,2.6,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,128,4.8,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,129,2.2,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,130,1.8,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,131,3.7,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,132,3.4,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,133,4.1,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,134,3.4,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,135,1.8,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,136,1.7,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,137,3.2,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,138,1.9,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,139,2.2,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,140,2.3,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,141,1,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,142,1.4,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,143,3.1,NA,NA,non-paralyzed,
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,144,2.7,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,145,17.2,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,146,5.7,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,147,8.1,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,148,5,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,149,4.1,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,150,6.5,NA,NA,non-paralyzed,
